jung,result
Kindred,1
Rek'Sai,1
Kindred,1
Kha'Zix,1
Rengar,1
Sejuani,1
Elise,1
Vi,1
Xin Zhao,0
Lee Sin,1
Rek'Sai,0
Lee Sin,0
Sejuani,1
Taliyah,1
Vi,1
Karthus,1
Skarner,1
Jarvan IV,1
Lee Sin,1
Kayn,1
Rek'Sai,1
Kha'Zix,1
Aatrox,0
Elise,1
